"ARID","JDATE","TIME","STA","CHAN","BMTYP","SPROID","CFREQ","SEAZ","DELAZ","SLOW","DELSLO","SNR","STAV","FSTAT","DELTIM","BANDW","FKQUAL","COMMID","LDDATE"
164339843,2021273,1633026890.25,GERES,GE_001,coh,-1,1.5,301.6075,27.557821,0.054951579,0.026176292,3.5838013,0.06736663,14.594296,1.72,1,1,-1,2021-09-30 18:46:30
164354223,2021274,1633086713.425,GERES,GE_040,coh,-1,2,62.592425,4.866884,0.21897931,0.0185952,4.2650418,0.1306579,16.267478,1.6758512,1.3333333,2,-1,2021-10-01 11:26:07
164354591,2021274,1633088215.7,GERES,GE_097,coh,-1,3,73.403306,2.571576,0.25039239,0.011237285,10.396442,0.28474429,19.797787,1.0627198,2,1,-1,2021-10-01 11:46:08
164354592,2021274,1633088226.4,GERES,GE_048,coh,-1,2,15.154068,3.1773435,0.23870032,0.013235455,6.3858204,0.21983425,32.110286,1.3981029,1.3333333,2,-1,2021-10-01 11:46:08
164322199,2021273,1632966111.225,GERES,GE_006,coh,-1,1.5,211.10881,22.843619,0.081290536,0.032196005,3.5879791,0.073240079,9.6470703,1.72,1,3,-1,2021-09-30 01:56:06
164322200,2021273,1632966638.25,GERES,GE_032,coh,-1,2,248.56036,6.446034,0.28233663,0.031747397,3.5935237,0.062362414,5.5809188,1.72,1.3333333,3,-1,2021-09-30 01:56:06
164326034,2021273,1632982615.3,GERES,GE_006,coh,-1,1.5,30.963757,7.3456644,0.26589123,0.034065517,3.5049541,0.082579158,8.617265,1.72,1,4,-1,2021-09-30 06:26:14
164330032,2021273,1632994354.45,GERES,GE_047,coh,-1,2,329.4594,4.0568553,0.13932916,0.0098632076,7.8924065,0.21190004,57.821001,1.2523426,1.3333333,1,-1,2021-09-30 09:46:14
164330033,2021273,1632994395.05,GERES,GE_025,coh,-1,1.5,330.6936,3.3857581,0.29173805,0.017237059,5.5222359,0.21114933,33.65682,1.4980862,1,1,-1,2021-09-30 09:46:14
164337613,2021273,1633018766.475,GERES,GE_115,coh,-1,4.5,17.378925,10.280901,0.16471929,0.029516865,14.23812,0.23691764,1.275312,0.84633118,3,4,-1,2021-09-30 16:26:34
164354588,2021274,1633087873.275,GERES,GE_112,coh,-1,4.5,3.9141372,6.2611531,0.22853291,0.024961135,8.6721754,0.28227597,1.7833158,1.187508,3,4,-1,2021-10-01 11:46:08
164354589,2021274,1633088194.15,GERES,GE_084,coh,-1,3,71.540782,5.0246995,0.15270075,0.013387191,4.8343215,0.10939799,13.94956,1.5896363,2,2,-1,2021-10-01 11:46:08
