"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1632995159.85,164330221,2021273,10477291,-1,GE_045,Pg,-,1.5813559,280.39733,6.2694804,14.787103,1.6172431,-1,-1,1.1801962,0.5,-999,-,-,4.8928452,"1",,-1,2021-09-30 09:56:17
GERES,1632995175.375,164330222,2021273,10477291,-1,GE_058,Lg,-,0.685,286.07343,1.6247702,25.980092,0.73670812,-1,-1,3.9064884,0.5,-999,-,-,19.881224,"1",,-1,2021-09-30 09:56:17
GERES,1632995180.675,164330223,2021273,-1,-1,GE_024,Sx,-,1.1516936,291.45548,2.3379211,32.831522,1.3395783,-1,-1,2.9532583,0.66666667,-999,-,-,9.1354799,"1",,-1,2021-09-30 09:56:17
GERES,1632997955.525,164331199,2021273,-1,-1,GE_053,Sx,-,0.69255157,160.4803,1.5599683,26.534467,0.72242054,-1,-1,2.9467565,0.5,-999,-,-,17.803547,"1",,-1,2021-09-30 10:54:38
GERES,1633018089.4,164337351,2021273,-1,-1,GE_026,P,-,1.5107256,45,54.236993,2.0757445,1.8923827,-1,-1,0.44477524,0.5,-999,-,-,5.42173,"3",,-1,2021-09-30 16:16:20
GERES,1633048600.925,164344888,2021274,10478025,-1,GE_026,P,-,0.86547189,6.7098368,9.0220381,4.5680413,0.71856039,-1,-1,0.95386148,0.5,-999,-,-,13.847536,"1",,-1,2021-10-01 00:48:12
GERES,1633048620.325,164344889,2021274,10478025,-1,GE_027,tx,-,1.72,16.699244,15.072922,5.5723638,1.46171,-1,-1,0.35110602,0.5,-999,-,-,3.9945827,"2",,-1,2021-10-01 00:48:12
GERES,1633081420.25,164352811,2021274,10478412,-1,GE_093,Pg,-,1.6181272,313.00935,5.2947763,15.653298,1.4460266,-1,-1,0.49920719,0.33333333,-999,-,-,4.6382513,"2",,-1,2021-10-01 09:56:24
GERES,1633081440.375,164352812,2021274,10478412,-1,GE_105,Lg,-,1.1716464,317.59351,4.6686946,27.106796,2.2081617,-1,-1,1.4942261,0.33333333,-999,-,-,8.8743935,"3",,-1,2021-10-01 09:56:24
GERES,1633096634.175,164356935,2021274,-1,-1,GE_010,P,-,1.6615369,129.34052,15.142131,10.524375,2.773295,-1,-1,0.64257465,0.66666667,-999,-,-,4.3546915,"3",,-1,2021-10-01 14:08:22
GERES,1633096856.475,164356936,2021274,-1,-1,GE_026,P,-,1.5994128,50.194429,74.968422,2.0843043,2.5367767,-1,-1,0.4466409,0.5,-999,-,-,4.7661242,"2",,-1,2021-10-01 14:08:23
GERES,1633125623.65,164363785,2021274,-1,-1,GE_050,N,-,1.10757,63.308468,3.6200988,27.032143,1.7076781,-1,-1,1.103691,0.5,-999,-,-,9.7404442,"1",,-1,2021-10-01 22:06:30
GERES,1633125633.425,164363786,2021274,-1,-1,GE_050,Sx,-,1.3484854,61.677062,4.7783215,23.343309,1.9462081,-1,-1,1.0117791,0.5,-999,-,-,6.863276,"2",,-1,2021-10-01 22:06:30
GERES,1632966111.225,164322199,2021273,-1,-1,GE_006,N,-,1.72,211.10881,22.843619,9.0391012,3.5800348,-1,-1,0.37933316,0.66666667,-999,-,-,3.5879791,"3",,-1,2021-09-30 01:56:06
GERES,1632966638.25,164322200,2021273,-1,-1,GE_032,N,-,1.72,248.56036,6.446034,31.394422,3.5301518,-1,-1,0.24090745,0.5,-999,-,-,3.5935237,"3",,-1,2021-09-30 01:56:06
GERES,1632989674.375,164328234,2021273,10477180,-1,GE_012,Pg,-,1.3574802,279.67826,5.6754361,17.461498,1.7289425,-1,-1,1.4629382,0.66666667,-999,-,-,6.774147,"1",,-1,2021-09-30 08:28:28
GERES,1632989694.975,164328235,2021273,10477180,-1,GE_057,Lg,-,0.685,281.98337,1.7971711,27.220944,0.85379219,-1,-1,4.7629067,0.5,-999,-,-,19.473425,"1",,-1,2021-09-30 08:28:28
GERES,1633007616.7,164334324,2021273,-1,-1,GE_001,P,-,1.6731029,102.72436,31.065838,4.2405961,2.2711952,-1,-1,0.96775814,0.66666667,-999,-,-,4.2821102,"3",,-1,2021-09-30 13:26:15
GERES,1633007827.55,164334325,2021273,-1,-1,GE_003,N,-,1.6503399,92.862405,23.692615,5.344024,2.1941187,-1,-1,0.35078265,0.66666667,-999,-,-,4.4261293,"2",,-1,2021-09-30 13:26:15
